valor;descricao;dataPublicacao;tipoPublicacao;items
R$ 235.000;Vendo apartamento no Mirante de Ponta Negra Capim Macio;12/01 às 18:16;12/01 às 18:16<!-- --> ;"['""2 quartos', '53m²', '1 vaga"">2 quartos', '53m²', '1 vaga']"
R$ 375.000;Apartamento no Terra Brasilis - Brasil Império = 3/4 - 93m² - Lagoa Nova;12/01 às 18:10;Profissional;"['""3 quartos', '93m²', 'Condomínio: R$ 720', '2 vagas"">3 quartos', '93m²', 'Condomínio: R$ 720', '2 vagas']"
R$ 450.000;Vendo! Apartamento no residencial Sertao Veredas em Lagoa Nova 3/4 sendo 2 suite;12/01 às 17:35;Profissional;"['""3 quartos', '100m²', 'Condomínio: R$ 500', '2 vagas"">3 quartos', '100m²', 'Condomínio: R$ 500', '2 vagas']"
R$ 175.900;"Condomínio Praia do Forte - Pronto para morar ""Últimas Unidades""";12/01 às 17:32;Profissional;"['""2 quartos', '0m²', '1 vaga"">2 quartos', '0m²', '1 vaga']"
R$ 295.000;Grande oportunidade no Smile em Lagoa Nova;12/01 às 17:29;12/01 às 17:29<!-- --> ;"['""2 quartos', '70m²', '2 vagas"">2 quartos', '70m²', '2 vagas']"
R$ 112.000;Apartamento ;12/01 às 17:11;12/01 às 17:11<!-- --> ;"['""2 quartos', '1 vaga"">2 quartos', '1 vaga']"
R$ 169.000;Ponta negra beach;12/01 às 17:07;Profissional;"['""1 quarto', '25m²', '1 vaga"">1 quarto', '25m²', '1 vaga']"
R$ 600.000;Apartamento com 3 dormitórios à venda, 120 m² por R$ 600.000,00 - Tirol - Natal/RN;12/01 às 17:04;Profissional;"['""3 quartos', '120m²', 'Condomínio: R$ 617', '2 vagas"">3 quartos', '120m²', 'Condomínio: R$ 617', '2 vagas']"
R$ 327.999;Estrela do Atlântico - pode ser financiado;12/01 às 17:01;Profissional;"['""2 quartos', '59m²', '1 vaga"">2 quartos', '59m²', '1 vaga']"
R$ 300.000;Apartamento à venda com 3 dormitórios em Petrópolis, Natal cod:11218;12/01 às 16:50;Profissional;"['""3 quartos', '102m²', 'Condomínio: R$ 1.380', '2 vagas"">3 quartos', '102m²', 'Condomínio: R$ 1.380', '2 vagas']"
R$ 620.000;Apartamento à venda com 3 dormitórios em Lagoa nova, Natal cod:11197;12/01 às 16:49;Profissional;"['""3 quartos', '298m²', 'Condomínio: R$ 1.100', '3 vagas"">3 quartos', '298m²', 'Condomínio: R$ 1.100', '3 vagas']"
R$ 345.000;Lindo apto em andar alto no Condomínio Jardins do Alto em Tirol, 64m2, 2/4 (1s);12/01 às 16:38;Profissional;"['""2 quartos', '64m²', 'Condomínio: R$ 550', '1 vaga"">2 quartos', '64m²', 'Condomínio: R$ 550', '1 vaga']"
R$ 265.000;Vendo Apartamento Tirol 58m2 - José Cosme Residence 2 Qt sendo 1 suíte;12/01 às 16:37;Profissional;"['""2 quartos', '58m²', 'Condomínio: R$ 330', '1 vaga"">2 quartos', '58m²', 'Condomínio: R$ 330', '1 vaga']"
R$ 199.000;Flat 40m2 em Andar alto no Cond. Quality Suítes Natal Plaza em Ponta Negra;12/01 às 16:36;Profissional;"['""1 quarto', '40m²', 'Condomínio: R$ 790', '1 vaga"">1 quarto', '40m²', 'Condomínio: R$ 790', '1 vaga']"
R$ 719.000;Lindo Apto no Tirol Residence em Tirol, com 137m2, 3 suítes e 3vg;12/01 às 16:36;Profissional;"['""3 quartos', '137m²', 'Condomínio: R$ 900', '3 vagas"">3 quartos', '137m²', 'Condomínio: R$ 900', '3 vagas']"
R$ 398.000;Vendo ou Troco Apartamento em Petropolis - Natal RN;12/01 às 16:34;12/01 às 16:34<!-- --> ;"['""3 quartos', '140m²', 'Condomínio: R$ 1.100', '1 vaga"">3 quartos', '140m²', 'Condomínio: R$ 1.100', '1 vaga']"
R$ 122.000;Res San Francisco, bairro do planalto ! Unidades novas ainda p venda ! ;12/01 às 16:31;Profissional;"['""2 quartos', '50m²', 'Condomínio: R$ 0', '1 vaga"">2 quartos', '50m²', 'Condomínio: R$ 0', '1 vaga']"
R$ 44.000;Vendo repasse de apartamento;12/01 às 16:22;12/01 às 16:22<!-- --> ;"['""2 quartos', '60m²', 'Condomínio: R$ 222', '1 vaga"">2 quartos', '60m²', 'Condomínio: R$ 222', '1 vaga']"
R$ 530.000;Oportunidade Apto 10° andar - 101m - 2 vagas(cobertas) - Ed. Portamaris;12/01 às 16:20;Profissional;"['""3 quartos', '101m²', 'Condomínio: R$ 550', '2 vagas"">3 quartos', '101m²', 'Condomínio: R$ 550', '2 vagas']"
R$ 115.000;Apto - 1° andar - 2 quartos - Sombra - no Villagio Veritá III - Av. dos Caiapós, Pitimbu;12/01 às 16:18;Profissional;"['""2 quartos', '52m²', 'Condomínio: R$ 250', '1 vaga"">2 quartos', '52m²', 'Condomínio: R$ 250', '1 vaga']"
R$ 285.000;Cond. Ville de France - Top na região ;12/01 às 16:17;Profissional;"['""2 quartos', '54m²', 'Condomínio: R$ 350', '1 vaga"">2 quartos', '54m²', 'Condomínio: R$ 350', '1 vaga']"
R$ 220.000;Apartamento Residencial / Petrópolis;12/01 às 16:12;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 350', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 350', '1 vaga']"
R$ 263.113;Apartamento para venda no condomínio Nabor Maia;12/01 às 16:12;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 425', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 425', '1 vaga']"
R$ 130.000;Apartamento para venda no Florais do Brasil;12/01 às 16:09;Profissional;"['""2 quartos', '53m²', 'Condomínio: R$ 150', '1 vaga"">2 quartos', '53m²', 'Condomínio: R$ 150', '1 vaga']"
R$ 525.200;Apartamentos Ed. Palazzo Cristal - 3 quartos;12/01 às 16:08;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 540', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 540', '2 vagas']"
R$ 155.900;Condomínio Praia de Pipa - Ponta negra;12/01 às 16:06;Profissional;"['""2 quartos', '0m²', '1 vaga"">2 quartos', '0m²', '1 vaga']"
R$ 285.000;Apartamento no Tirol - 57 m2;12/01 às 16:04;Profissional;"['""2 quartos', '57m²', '1 vaga"">2 quartos', '57m²', '1 vaga']"
R$ 154.291;Nova Amsterdã Residencial - Região Satélite;12/01 às 15:55;Profissional;"['""2 quartos', '0m²', '1 vaga"">2 quartos', '0m²', '1 vaga']"
R$ 465.000;Condodominio Lenilson Carvalho;12/01 às 15:50;Profissional;"['""3 quartos', '105m²', 'Condomínio: R$ 800', '2 vagas"">3 quartos', '105m²', 'Condomínio: R$ 800', '2 vagas']"
R$ 139.900;Norte Boulevard Residencial - Zona norte;12/01 às 15:48;Profissional;"['""2 quartos', '1 vaga"">2 quartos', '1 vaga']"
R$ 195.000;Condomínio Sun Gardens;12/01 às 15:38;Profissional;"['""2 quartos', '0m²', '2 vagas"">2 quartos', '0m²', '2 vagas']"
R$ 1.050.000;Ed. Almanara!;12/01 às 15:28;Profissional;"['""5 ou mais quarto', '389m²', 'Condomínio: R$ 2.400', '3 vagas"">5 ou mais quarto', '389m²', 'Condomínio: R$ 2.400', '3 vagas']"
R$ 325.000;Venda Rápida - Apto - 8° andar - 94m - 2 vagas(Cobertas) - Natal Brisa;12/01 às 15:23;Profissional;"['""3 quartos', '94m²', 'Condomínio: R$ 400', '2 vagas"">3 quartos', '94m²', 'Condomínio: R$ 400', '2 vagas']"
R$ 190.000;Condominio sun tower;12/01 às 15:17;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 1', '1 vaga"">2 quartos', '57m²', 'Condomínio: R$ 1', '1 vaga']"
R$ 189.000;Excelente Apartamento 2 Quartos Sendo 1 Suíte Pitimbu Natal-RN;12/01 às 14:32;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 350', '1 vaga"">2 quartos', '57m²', 'Condomínio: R$ 350', '1 vaga']"
R$ 470.000;Apartamento em Barro Vermelho - 3/4 - 2 Suítes - Dependência - 108m² - Cond Antônio Costa;12/01 às 14:31;Profissional;"['""3 quartos', '108m²"">3 quartos', '108m²']"
R$ 900.000;Apartamento à venda com 4 dormitórios em Areia preta, Natal cod:811078;12/01 às 14:21;Profissional;"['""4 quartos', '188m²', 'Condomínio: R$ 950"">4 quartos', '188m²', 'Condomínio: R$ 950']"
R$ 300.000;Condomino elza chaves;12/01 às 13:42;Profissional;"['""3 quartos', '78m²', 'Condomínio: R$ 1', '2 vagas"">3 quartos', '78m²', 'Condomínio: R$ 1', '2 vagas']"
R$ 145.000;Oportunidade Flat em Ponta Negra no Manhattan Residence;12/01 às 13:38;Profissional;"['""1 quarto', '40m²', 'Condomínio: R$ 775', '2 vagas"">1 quarto', '40m²', 'Condomínio: R$ 775', '2 vagas']"
R$ 1.350.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:KOSTER;12/01 às 13:33;Profissional;"['""3 quartos', '150m²', 'Condomínio: R$ 1.100', '3 vagas"">3 quartos', '150m²', 'Condomínio: R$ 1.100', '3 vagas']"
R$ 760.000;Apartamento à venda em Lagoa Nova (Natal/RN) |Mirante Serra de Martins- 136m ( 3 suítes;12/01 às 13:30;Profissional;"['""3 quartos', '136m²', '3 vagas"">3 quartos', '136m²', '3 vagas']"
R$ 220.000;Residencial Joan Miro - 50m da Praia de Ponta Negra;12/01 às 13:13;12/01 às 13:13<!-- --> ;"['""2 quartos', '50m²', 'Condomínio: R$ 300', '1 vaga"">2 quartos', '50m²', 'Condomínio: R$ 300', '1 vaga']"
R$ 599.000;Apartamento novo, 3 quartos, 112m², Lagoa Nova, Residencial Maria Rodrigues;12/01 às 13:12;12/01 às 13:12<!-- --> ;"['""3 quartos', '112m²', 'Condomínio: R$ 700', '2 vagas"">3 quartos', '112m²', 'Condomínio: R$ 700', '2 vagas']"
R$ 506.897;Vendo -Terramaris Club Condominium - Apto 101m² 3/4 sendo 1 suite/depen/ Varanda/ Gourmet;12/01 às 12:38;Profissional;"['""3 quartos', '101m²"">3 quartos', '101m²']"
R$ 239.000;Spazzio Privillege Ponta Negra 51,66m² 2/4 sendo 1 suite com varanda ampla;12/01 às 12:36;Profissional;"['""2 quartos', '51m²', '1 vaga"">2 quartos', '51m²', '1 vaga']"
R$ 599.000;Vendo apartamento 3 quartos, 104m, em Lagoa Nova, Residencial Maria Rodrigues;12/01 às 12:34;Profissional;"['""3 quartos', '104m²', 'Condomínio: R$ 700', '2 vagas"">3 quartos', '104m²', 'Condomínio: R$ 700', '2 vagas']"
R$ 290.000;Condomínio Vita Residencial Clube: Apto 89m² 3/4 em Pitimbu, Natal RN;12/01 às 12:31;Profissional;"['""3 quartos', '89m²', '2 vagas"">3 quartos', '89m²', '2 vagas']"
R$ 800.000;Apartamento na Candelária, um novo lar, perfeito para você e sua família!;12/01 às 12:25;Profissional;"['""3 quartos', '307m²', 'Condomínio: R$ 1.170', '4 vagas"">3 quartos', '307m²', 'Condomínio: R$ 1.170', '4 vagas']"
R$ 400.000;Oportunidade em Lagoa Nova no último andar - torre única;12/01 às 12:22;Profissional;"['""2 quartos', '60m²', '1 vaga"">2 quartos', '60m²', '1 vaga']"
R$ 110.000;Vedes Apartamento.;12/01 às 12:19;12/01 às 12:19<!-- --> ;"['""2 quartos', '1 vaga"">2 quartos', '1 vaga']"
R$ 264.999;Residencial Áurea Guedes (Apartamentos de 2 quartos em Ponta Negra);12/01 às 11:58;Profissional;"['""2 quartos', '52m²', '1 vaga"">2 quartos', '52m²', '1 vaga']"
R$ 290.000;Duna Barcane (andar baixo);12/01 às 11:57;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 0"">2 quartos', '55m²', 'Condomínio: R$ 0']"
R$ 350.000;Corais de ponta negra;12/01 às 11:54;Profissional;"['""3 quartos', '97m²', 'Condomínio: R$ 1', '2 vagas"">3 quartos', '97m²', 'Condomínio: R$ 1', '2 vagas']"
R$ 200.000;Apartamento em Candelária perto do Natal Shopping (Bairro Latino);12/01 às 11:53;Profissional;"['""3 quartos', '0m²', '1 vaga"">3 quartos', '0m²', '1 vaga']"
R$ 459.001;Apartamentos com 2 ou 3 quartos em Lagoa Nova - Moura Dubeux;12/01 às 11:52;Profissional;"['""3 quartos', '73m²', '2 vagas"">3 quartos', '73m²', '2 vagas']"
R$ 580.000;Apartamento em Lagoa Nova - 195m²;12/01 às 11:47;Profissional;"['""3 quartos', '0m²', '2 vagas"">3 quartos', '0m²', '2 vagas']"
R$ 409.000;Lançamento em capim macio / melhor custo beneficio;12/01 às 11:42;Profissional;"['""2 quartos', '75m²', '2 vagas"">2 quartos', '75m²', '2 vagas']"
R$ 700.000;Apartamento em Lagoa Nova - 3 Suítes - 119m² - Dependência Completa - Quartier;12/01 às 11:33;Profissional;"['""3 quartos', '119m²"">3 quartos', '119m²']"
R$ 200.015;TS Apartamento-57m²-2 quartos;12/01 às 11:31;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 355', '1 vaga"">2 quartos', '57m²', 'Condomínio: R$ 355', '1 vaga']"
R$ 179.990;Apartamento Tipo Flat em Ponta Negra;12/01 às 11:29;Profissional;"['""1 quarto', '47m²', 'Condomínio: R$ 430', '1 vaga"">1 quarto', '47m²', 'Condomínio: R$ 430', '1 vaga']"
R$ 150.013;TS Ótima localização- Flat- 36m²;12/01 às 11:25;Profissional;"['""1 quarto', '36m²', 'Condomínio: R$ 658', '1 vaga"">1 quarto', '36m²', 'Condomínio: R$ 658', '1 vaga']"
R$ 385.000;Vendo apartamento no Residencial Cabugi com 110m²;12/01 às 11:15;Profissional;"['""3 quartos', '110m²', 'Condomínio: R$ 630', '2 vagas"">3 quartos', '110m²', 'Condomínio: R$ 630', '2 vagas']"
R$ 200.000;Sun Gardens;12/01 às 11:12;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 350', '2 vagas"">2 quartos', '57m²', 'Condomínio: R$ 350', '2 vagas']"
R$ 97.000;Serrambi 1;12/01 às 11:10;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 100', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 100', '1 vaga']"
R$ 180.000;Apto 3 Quartos com 83m² valor 180.000 próximo Rui Barbosa;12/01 às 11:05;12/01 às 11:05<!-- --> ;"['""3 quartos', '83m²', 'Condomínio: R$ 280', '1 vaga"">3 quartos', '83m²', 'Condomínio: R$ 280', '1 vaga']"
R$ 1.000.000;Apartamento com 3 suítes em capim macio - Royal Palms|Natal RN;12/01 às 10:18;Profissional;"['""3 quartos', '141m²', 'Condomínio: R$ 630', '2 vagas"">3 quartos', '141m²', 'Condomínio: R$ 630', '2 vagas']"
R$ 315.001;Apartamento em Ponta Negra Mobiliado - 1/4 - 36m² e Cobertura de 165m² - Financ Próprio;12/01 às 10:14;Profissional;"['""1 quarto', '36m²"">1 quarto', '36m²']"
R$ 330.000;Apartamento com 3/4 no Áurea Guedes;12/01 às 10:09;Profissional;"['""3 quartos', '67m²', 'Condomínio: R$ 425', '2 vagas"">3 quartos', '67m²', 'Condomínio: R$ 425', '2 vagas']"
R$ 2.100.000;Um Condomínio Completo e com localização Privilegiada;12/01 às 10:07;Profissional;"['""4 quartos', '208m²', 'Condomínio: R$ 1.250', '5 ou mais vaga"">4 quartos', '208m²', 'Condomínio: R$ 1.250', '5 ou mais vaga']"
R$ 198.000;Condomínio Sun Golden - Apto 2/4 com suite de 55 m², andar alto, 1 vaga por 198.000,00;12/01 às 09:59;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 310', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 310', '1 vaga']"
R$ 230.669;Residencial Nova Amsterdã - Apto 2/4 com suíte de 56 m², 4º andar, 1 vaga por 230.669,00;12/01 às 09:58;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 400', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 400', '1 vaga']"
R$ 329.990;Estrela do Atlântico / Últimas Unidades acima do 33º andar ;12/01 às 09:33;Profissional;"['""2 quartos', '59m²', 'Condomínio: R$ 360', '1 vaga"">2 quartos', '59m²', 'Condomínio: R$ 360', '1 vaga']"
R$ 200.000;Vendo apartamento em capim macio com 2/4;12/01 às 09:12;Profissional;"['""2 quartos', '51m²', '1 vaga"">2 quartos', '51m²', '1 vaga']"
R$ 165.000;Apartamento com 2 dormitórios à venda, 54 m² por R$ 175.000 - Lagoa Nova - Natal/RN;12/01 às 08:50;Profissional;"['""2 quartos', '54m²', 'Condomínio: R$ 460', '1 vaga"">2 quartos', '54m²', 'Condomínio: R$ 460', '1 vaga']"
R$ 235.000;Oportunidade abaixo do preço!! 2/4 sendo 1 suíte, Spazzio Privillege Ponta Negra;12/01 às 08:28;Profissional;"['""2 quartos', '60m²', 'Condomínio: R$ 412', '1 vaga"">2 quartos', '60m²', 'Condomínio: R$ 412', '1 vaga']"
R$ 259.000;V.2165-No melhor de Capim Macio. Residencial Olimpo;12/01 às 08:24;Profissional;"['""2 quartos', '62m²', 'Condomínio: R$ 0"">2 quartos', '62m²', 'Condomínio: R$ 0']"
R$ 280.000;Apartamento residencial à venda, Nova Descoberta, Natal.;12/01 às 08:16;Profissional;"['""2 quartos', '75m²', 'Condomínio: R$ 450"">2 quartos', '75m²', 'Condomínio: R$ 450']"
R$ 118.000;Mar Do Sul;12/01 às 07:04;12/01 às 07:04<!-- --> ;"['""2 quartos', '0m²', 'Condomínio: R$ 490', '1 vaga"">2 quartos', '0m²', 'Condomínio: R$ 490', '1 vaga']"
R$ 235.000;Apartamento em Lagoa Nova (Semi-mobiliado);12/01 às 06:43;12/01 às 06:43<!-- --> ;"['""3 quartos', 'Condomínio: R$ 260', '1 vaga"">3 quartos', 'Condomínio: R$ 260', '1 vaga']"
R$ 785.000;Apartamento em Capim Macio;12/01 às 03:24;Profissional;"['""3 quartos', '141m²', 'Condomínio: R$ 690', '2 vagas"">3 quartos', '141m²', 'Condomínio: R$ 690', '2 vagas']"
R$ 200.000;"Sun Golden; 2/4, sendo 1 suíte; 57m²; por trás Favorito da Ayrton Senna";12/01 às 02:07;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 300', '1 vaga"">2 quartos', '57m²', 'Condomínio: R$ 300', '1 vaga']"
R$ 195.000;"Cond. Sun Golden; 2/4; 57m²; por trás Favorito da Ayrton Senna";12/01 às 01:33;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 300', '1 vaga"">2 quartos', '57m²', 'Condomínio: R$ 300', '1 vaga']"
R$ 320.000;Vendo um lindo apt no Sun Rise;12/01 às 00:29;12/01 às 00:29<!-- --> ;"['""3 quartos', '86m²', 'Condomínio: R$ 380', '2 vagas"">3 quartos', '86m²', 'Condomínio: R$ 380', '2 vagas']"
R$ 249.000;APARTAMENTO REFORMADO 3 QUARTOS - ED SALMAR;12/01 às 00:12;12/01 às 00:12<!-- --> ;"['""3 quartos', '120m²', 'Condomínio: R$ 450', '1 vaga"">3 quartos', '120m²', 'Condomínio: R$ 450', '1 vaga']"
R$ 2.450.000;Apartamento à venda com 5 dormitórios em Areia preta, Natal cod:821760;11/01 às 22:50;Profissional;"['""5 ou mais quarto', '282m²', 'Condomínio: R$ 1.750', '4 vagas"">5 ou mais quarto', '282m²', 'Condomínio: R$ 1.750', '4 vagas']"
R$ 335.000;Apartamento à venda com 2 dormitórios em Lagoa nova, Natal cod:822113;11/01 às 22:50;Profissional;"['""2 quartos', 'Condomínio: R$ 510', '2 vagas"">2 quartos', 'Condomínio: R$ 510', '2 vagas']"
R$ 100.000;Ayambra Flat, Loft com 1/4, mobiliado, no litoral de Natal/RN;11/01 às 22:40;Profissional;"['""1 quarto', '35m²', 'Condomínio: R$ 450"">1 quarto', '35m²', 'Condomínio: R$ 450']"
R$ 400.000;Apartamento com 3 dormitórios à venda, 98 m² por R$ 400.000,00 - Capim Macio - Natal/RN;11/01 às 22:11;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 675"">3 quartos', '98m²', 'Condomínio: R$ 675']"
R$ 520.000;Apartamento Assuncion Gili em Capim Macio;11/01 às 21:55;Profissional;"['""3 quartos', '100m²', 'Condomínio: R$ 584', '2 vagas"">3 quartos', '100m²', 'Condomínio: R$ 584', '2 vagas']"
R$ 650.000;Apartamento Residencial / Lagoa Nova;11/01 às 21:20;Profissional;"['""3 quartos', '126m²', '3 vagas"">3 quartos', '126m²', '3 vagas']"
R$ 699.000;Apartamento Residencial / Tirol;11/01 às 21:20;Profissional;"['""3 quartos', '119m²', '2 vagas"">3 quartos', '119m²', '2 vagas']"
R$ 769.900;Apartamento com 142 m2 em Capim Macio;11/01 às 21:18;Profissional;"['""3 quartos', '142m²', '2 vagas"">3 quartos', '142m²', '2 vagas']"
R$ 1.049.000;Apartamento 166 m2 - Lagoa Nova;11/01 às 21:18;Profissional;"['""4 quartos', '166m²', '3 vagas"">4 quartos', '166m²', '3 vagas']"
R$ 525.000;Vendo apartamento de 03 quartos no Palazo Cristal;11/01 às 21:10;Profissional;"['""3 quartos', '104m²', '2 vagas"">3 quartos', '104m²', '2 vagas']"
R$ 850.000;Prédio para Venda em Natal, ALECRIM - PRÉDIO COMERCIAL NA PRESIDENTE QUARESMA, 5 banheiros;11/01 às 20:44;Profissional;"['""369m²"">369m²']"
R$ 750.000;Vendo apartamento 145m², mobiliado, 3 suite no Residencial Francisco de Goya;11/01 às 20:34;Profissional;"['""3 quartos', '145m²', 'Condomínio: R$ 850', '2 vagas"">3 quartos', '145m²', 'Condomínio: R$ 850', '2 vagas']"
R$ 280.000;Apartamento com 3 dormitórios à venda, 83 m² por R$ 280.000,00 - Capim Macio - Natal/RN;11/01 às 20:29;Profissional;"['""3 quartos', '83m²', 'Condomínio: R$ 530', '1 vaga"">3 quartos', '83m²', 'Condomínio: R$ 530', '1 vaga']"
R$ 134.500;Apartamento em Capim Macio - Serra do Cabugi 2 - 3/4 Suíte - 70m²;11/01 às 20:15;Profissional;"['""3 quartos', '70m²"">3 quartos', '70m²']"
R$ 115.004;Apartamento no Planalto 2/4 - 43m²/64m² - Jardim Privativo - Documentação Grátis;11/01 às 20:15;Profissional;"['""2 quartos', '44m²"">2 quartos', '44m²']"
R$ 299.000;Apartamento em Ponta Negra - 3/4 - 67m² - Áurea Guedes - Documentação Grátis;11/01 às 20:14;Profissional;"['""2 quartos', '67m²"">2 quartos', '67m²']"
R$ 690.000;Apartamento em lagoa nova - giardino;11/01 às 20:06;Profissional;"['""3 quartos', '166m²', '2 vagas"">3 quartos', '166m²', '2 vagas']"
R$ 900.000;Apartamento à venda com 4 dormitórios em Tirol, Natal cod:10014;11/01 às 19:51;Profissional;"['""4 quartos', '310m²', 'Condomínio: R$ 1.478', '2 vagas"">4 quartos', '310m²', 'Condomínio: R$ 1.478', '2 vagas']"
R$ 310.000;Apartamento à venda com 3 dormitórios em Cidade alta, Natal cod:6647;11/01 às 19:51;Profissional;"['""3 quartos', '74m²', 'Condomínio: R$ 422', '2 vagas"">3 quartos', '74m²', 'Condomínio: R$ 422', '2 vagas']"
R$ 210.000;FP - Apartamento para venda com 57 e 2 qtos em Pitimbu - Natal - RN;11/01 às 19:49;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 350', '2 vagas"">2 quartos', '57m²', 'Condomínio: R$ 350', '2 vagas']"
R$ 720.000;FP - Apartamento para venda, 286 m² com 4 qtos sendo 2 suítes em Tirol - Natal - RN;11/01 às 19:46;Profissional;"['""4 quartos', '286m²', 'Condomínio: R$ 1.300', '2 vagas"">4 quartos', '286m²', 'Condomínio: R$ 1.300', '2 vagas']"
R$ 115.000;Apartamento no bairro planalto em Natal -.RN;11/01 às 19:42;Profissional;"['""2 quartos', '54m²', 'Condomínio: R$ 250', '1 vaga"">2 quartos', '54m²', 'Condomínio: R$ 250', '1 vaga']"
R$ 200.000;Apartamento com 3 quartos à venda, 117 m² por R$ 200.000 - Petrópolis - Natal/RN;11/01 às 19:40;Profissional;"['""3 quartos', '117m²', 'Condomínio: R$ 550', '1 vaga"">3 quartos', '117m²', 'Condomínio: R$ 550', '1 vaga']"
R$ 380.000;Apartamento com 3 dormitórios à venda, 150 m² por R$ 380.000 - Barro Vermelho - Natal/RN;11/01 às 19:39;Profissional;"['""3 quartos', '150m²', 'Condomínio: R$ 800', '2 vagas"">3 quartos', '150m²', 'Condomínio: R$ 800', '2 vagas']"
R$ 260.000;Paradaise Flat Ponta Negra - Apto 1/4 com suite de 43 m², andar alto, mobiliado de 260.000;11/01 às 19:15;Profissional;"['""1 quarto', '43m²', 'Condomínio: R$ 640', '1 vaga"">1 quarto', '43m²', 'Condomínio: R$ 640', '1 vaga']"
R$ 120.000;Condomínio Parque dos Servidores Federais - Apto 2/4 s/suíte de 57 m², 1 vaga por 120.000;11/01 às 19:15;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 245', '1 vaga"">2 quartos', '57m²', 'Condomínio: R$ 245', '1 vaga']"
R$ 628.000;Diego Velazquez - Apto 3/4 e 3 suítes de 127 m², varanda, 2 vagas por 628.000, Natal;11/01 às 19:14;Profissional;"['""3 quartos', '127m²', '2 vagas"">3 quartos', '127m²', '2 vagas']"
R$ 205.000;Condomínio Polinésia - Apto 2/4 e 2 suítes de 83 m², 4º andar, 1 vaga por 205.000;11/01 às 19:14;Profissional;"['""2 quartos', '83m²', 'Condomínio: R$ 500', '1 vaga"">2 quartos', '83m²', 'Condomínio: R$ 500', '1 vaga']"
R$ 240.002;Apartamento em Ponta Negra Mobiliado - 2/4 Suíte - 55m² - Vista Mar e Morro do Carecas;11/01 às 18:08;Profissional;"['""2 quartos', '55m²"">2 quartos', '55m²']"
R$ 530.000;Vende-se Apartamento Terramaris Club Condominium;11/01 às 18:04;Profissional;"['""3 quartos', '101m²', 'Condomínio: R$ 0"">3 quartos', '101m²', 'Condomínio: R$ 0']"
R$ 1.300.000;Diamond  Residence Tower Adrianopolis ;11/01 às 17:44;Profissional;"['""3 quartos', '155m²', '2 vagas"">3 quartos', '155m²', '2 vagas']"
R$ 105.000;Vendo apartamento próximo a Ayrton Senna;11/01 às 17:39;11/01 às 17:39<!-- --> ;"['""2 quartos', '48m²', 'Condomínio: R$ 265', '1 vaga"">2 quartos', '48m²', 'Condomínio: R$ 265', '1 vaga']"
R$ 165.000;Oportunidade ponta negra ( J  );11/01 às 17:37;Profissional;"['""2 quartos', '56m²', '1 vaga"">2 quartos', '56m²', '1 vaga']"
R$ 430.000;A venda apartamento 3 quartos em Neópolis;11/01 às 17:29;Profissional;"['""3 quartos', '75m²"">3 quartos', '75m²']"
R$ 265.000;Res. Luiz Felipe - 3 quartos (1 suíte) - Andar alto - Lagoa Nova - Próx. ao Midway e IFRN;11/01 às 17:29;Profissional;"['""3 quartos', '60m²', 'Condomínio: R$ 375', '1 vaga"">3 quartos', '60m²', 'Condomínio: R$ 375', '1 vaga']"
R$ 190.000;Ponta Negra Beach: Apto mobiliado a beira mar em Ponta Negra, Natal RN;11/01 às 17:12;Profissional;"['""1 quarto', '34m²', 'Condomínio: R$ 1.500', '1 vaga"">1 quarto', '34m²', 'Condomínio: R$ 1.500', '1 vaga']"
R$ 669.900;Quartier Lagoa Nova - 119 m2 - 3 suítes;11/01 às 17:03;Profissional;"['""3 quartos', '119m²', '2 vagas"">3 quartos', '119m²', '2 vagas']"
R$ 544.000;Flat com 2 dormitórios à venda, 54 m² por R 544.000,00 - Ponta Negra - Natal/RN;11/01 às 16:50;Profissional;"['""2 quartos', '54m²', 'Condomínio: R$ 478"">2 quartos', '54m²', 'Condomínio: R$ 478']"
R$ 220.000;Apartamento no Estrela de Natal;11/01 às 16:47;11/01 às 16:47<!-- --> ;"['""2 quartos', '1 vaga"">2 quartos', '1 vaga']"
