valor;descricao;dataPublicacao;tipoPublicacao;items
R$ 180.000;Residencial Ilha do Atlântico em Capim Macio;Hoje às 10:28;Profissional;"['""3 quartos', '70m²', 'Condomínio: R$ 450', '1 vaga"">3 quartos', '70m²', 'Condomínio: R$ 450', '1 vaga']"
R$ 574.900;Apartamento em Lagoa Nova - Natal RN;Hoje às 10:14;Profissional;"['""2 quartos', '109m²', 'Condomínio: R$ 700', '2 vagas"">2 quartos', '109m²', 'Condomínio: R$ 700', '2 vagas']"
R$ 214.032;Plantão de Vendas 29 FEV/21 Aptos 2 Dorms.;Hoje às 10:12;Profissional;"['""2 quartos', '61m²', 'Condomínio: R$ 565', '1 vaga"">2 quartos', '61m²', 'Condomínio: R$ 565', '1 vaga']"
R$ 399.000;Apartamento Mobiliado em Ponta Negra - 1 Suíte - A partir de 46m² - Reserva Madero;Hoje às 09:35;Profissional;"['""1 quarto', '46m²"">1 quarto', '46m²']"
R$ 550.000;Apartamento à venda com 3 dormitórios em Petrópolis, Natal cod:9776;Hoje às 09:32;Profissional;"['""3 quartos', '244m²', 'Condomínio: R$ 1.000', '2 vagas"">3 quartos', '244m²', 'Condomínio: R$ 1.000', '2 vagas']"
R$ 1.450.000;Apartamento à venda com 4 dormitórios em Capim macio, Natal cod:9679;Hoje às 09:32;Profissional;"['""4 quartos', '200m²', 'Condomínio: R$ 1.250', '4 vagas"">4 quartos', '200m²', 'Condomínio: R$ 1.250', '4 vagas']"
R$ 1.850.000;Apartamento novo no Tirol com 4 suítes;Hoje às 09:28;Profissional;"['""4 quartos', '222m²', 'Condomínio: R$ 1.250', '4 vagas"">4 quartos', '222m²', 'Condomínio: R$ 1.250', '4 vagas']"
R$ 545.000;Apartamento 4 quartos em Capim Macio ;Hoje às 09:28;Profissional;"['""4 quartos', '109m²', 'Condomínio: R$ 530', '2 vagas"">4 quartos', '109m²', 'Condomínio: R$ 530', '2 vagas']"
R$ 500.000;Residencial Terra de Santa Cruz - 3 suites - Lagoa Nova - Andar Alto - Sombra;Hoje às 09:28;Profissional;"['""3 quartos', '114m²', 'Condomínio: R$ 800', '2 vagas"">3 quartos', '114m²', 'Condomínio: R$ 800', '2 vagas']"
R$ 290.000;Oportunidade central park;Hoje às 09:28;Profissional;"['""2 quartos', '63m²', '1 vaga"">2 quartos', '63m²', '1 vaga']"
